Date,Open,High,Low,Close,Adj Close,Volume
2021-11-09,817.7908,824.3032,816.5974,818.4644,818.4644,1193259
2021-11-16,820.3622,836.6978,817.6858,832.3927,832.3927,1145261
2021-11-23,833.0750,840.3369,811.7930,818.2284,818.2284,1073729
2021-11-30,816.3311,822.0839,798.0827,802.9858,802.9858,1117607
2021-12-07,800.6164,828.3261,794.2939,825.1372,825.1372,1191279
2021-12-14,824.2397,826.4037,800.6373,808.5309,808.5309,1189753
2021-12-21,809.2574,813.6862,775.9351,781.7329,781.7329,1100184
2021-12-28,777.8736,785.5248,762.4206,765.3059,765.3059,1134885
2022-01-04,763.6889,775.3414,756.2577,772.4362,772.4362,1104771
2022-01-11,771.8065,787.3785,765.7230,784.7213,784.7213,1101051
2022-01-18,785.8457,786.6881,769.8323,772.5851,772.5851,1178279
2022-01-25,773.0444,777.8841,758.4396,764.0124,764.0124,1015283
2022-02-01,764.3158,769.8921,749.3388,751.6720,751.6720,1090217
2022-02-08,752.2997,754.1431,726.1331,733.3749,733.3749,1197931
2022-02-15,731.2762,732.5130,676.7182,679.6324,679.6324,1040058
2022-02-22,678.2679,683.8952,647.0534,649.7764,649.7764,1195870
2022-03-01,648.5552,655.0239,616.9141,617.6446,617.6446,1043845
2022-03-08,617.7135,630.8991,614.5008,625.4898,625.4898,1000769
2022-03-15,623.8991,649.7220,622.6069,645.6804,645.6804,1155502
2022-03-22,644.2262,664.4284,638.2496,661.4947,661.4947,1014925
2022-03-29,662.0132,668.3733,660.3251,660.5280,660.5280,1041145
2022-04-05,661.7969,667.4295,658.6339,662.9124,662.9124,1129415
2022-04-12,664.0288,667.1648,655.6944,658.4166,658.4166,1035111
2022-04-19,659.2707,682.2443,658.6063,679.0576,679.0576,1099551
2022-04-26,679.7682,683.7706,670.8158,675.5666,675.5666,1030704
2022-05-03,677.4121,681.0547,657.4678,659.8783,659.8783,1104274
2022-05-10,663.1114,668.7050,633.9826,635.1762,635.1762,1169470
2022-05-17,634.7604,638.2793,587.0122,592.6439,592.6439,1024559
2022-05-24,592.6285,616.9874,586.7371,612.6884,612.6884,1190430
2022-05-31,612.8173,632.2301,609.2066,627.9094,627.9094,1114025
2022-06-07,627.6744,628.3811,617.7677,618.9978,618.9978,1055530
2022-06-14,617.5952,673.7355,615.4722,670.8571,670.8571,1125045
2022-06-21,671.5273,704.9804,666.8080,698.1279,698.1279,1037407
2022-06-28,697.5645,702.7539,691.6023,699.4391,699.4391,1158053
2022-07-05,697.1662,703.8083,674.2603,677.0492,677.0492,1065307
2022-07-12,676.1550,682.3962,655.1892,657.3618,657.3618,1049414
2022-07-19,658.8013,665.4022,658.7999,665.3332,665.3332,1138414
2022-07-26,665.1309,667.8944,647.7501,650.6564,650.6564,1062596
2022-08-02,650.3529,674.6496,644.6368,670.7448,670.7448,1151385
2022-08-09,671.2181,673.9253,656.5948,660.7319,660.7319,1066990
