Date,Open,High,Low,Close,Adj Close,Volume
2021-11-09,303.2859,304.8387,301.0638,303.6959,303.6959,1034845
2021-11-16,303.9844,307.8612,301.3750,307.7882,307.7882,1155612
2021-11-23,308.2029,310.4616,297.4977,299.8112,299.8112,1125255
2021-11-30,299.9654,309.0677,297.1907,307.1218,307.1218,1028757
2021-12-07,306.1831,307.7834,289.2929,292.0759,292.0759,1127188
2021-12-14,291.6636,294.4215,276.9796,278.0931,278.0931,1147885
2021-12-21,277.6335,299.5751,277.2068,298.5629,298.5629,1002181
2021-12-28,298.2893,298.5316,290.9826,292.4021,292.4021,1070178
2022-01-04,292.4459,294.3909,289.2203,291.6909,291.6909,1054933
2022-01-11,290.7570,304.6402,287.8929,303.9488,303.9488,1084999
2022-01-18,303.9568,304.2417,297.0188,298.8928,298.8928,1138579
2022-01-25,299.7771,302.6943,291.2827,293.2985,293.2985,1196268
2022-02-01,293.3630,295.5056,290.0183,292.1981,292.1981,1146375
2022-02-08,291.3707,293.0842,285.6617,288.1105,288.1105,1010293
2022-02-15,287.7906,290.0687,283.2350,283.5657,283.5657,1012337
2022-02-22,284.4447,296.4744,281.9822,295.1898,295.1898,1071027
2022-03-01,294.5808,295.5607,291.6489,293.3243,293.3243,1149525
2022-03-08,293.2472,295.0641,282.7604,285.1896,285.1896,1152469
2022-03-15,285.1835,289.6471,283.7445,288.8320,288.8320,1154454
2022-03-22,288.7824,291.2171,279.7172,282.0428,282.0428,1108208
2022-03-29,282.5552,285.4984,280.5017,284.1417,284.1417,1182702
2022-04-05,283.8392,299.9561,281.3256,299.2689,299.2689,1131458
2022-04-12,300.3266,302.9637,294.2217,295.9284,295.9284,1021893
2022-04-19,295.8565,302.5597,293.4707,300.2816,300.2816,1051181
2022-04-26,300.6030,302.4440,290.2927,291.5598,291.5598,1158000
2022-05-03,291.8937,293.0234,287.2249,287.2294,287.2294,1081313
2022-05-10,287.3348,287.8522,279.4015,281.7449,281.7449,1045018
2022-05-17,281.1267,293.9845,280.5609,293.1225,293.1225,1017125
2022-05-24,293.5085,296.1849,291.6634,291.7858,291.7858,1108030
2022-05-31,291.5950,292.4907,290.5120,292.4819,292.4819,1147538
2022-06-07,291.1398,302.3167,289.7302,301.3344,301.3344,1125731
2022-06-14,302.2362,311.3190,299.9027,310.4805,310.4805,1026583
2022-06-21,310.9486,328.9796,310.1780,328.7039,328.7039,1027910
2022-06-28,329.5726,331.3142,307.6260,309.1611,309.1611,1101655
2022-07-05,309.5453,319.0594,307.4832,318.9147,318.9147,1001403
2022-07-12,318.3878,330.3045,318.3856,327.5222,327.5222,1080390
2022-07-19,326.6477,334.1650,324.1847,334.0547,334.0547,1191398
2022-07-26,333.6869,348.5926,330.8713,345.7055,345.7055,1163873
2022-08-02,346.4121,349.1641,338.7152,341.5972,341.5972,1140187
2022-08-09,342.6234,344.7573,339.2072,340.2702,340.2702,1157222
2022-08-16,340.3388,360.7107,340.1509,357.4746,357.4746,1173955
2022-08-23,356.6004,364.7266,353.3818,362.2237,362.2237,1043974
2022-08-30,360.6492,367.2668,359.1195,366.4456,366.4456,1022046
2022-09-06,364.9797,382.6695,364.0067,382.4714,382.4714,1077636
2022-09-13,383.0394,392.6817,382.9164,389.1731,389.1731,1161368
2022-09-20,388.9870,394.7969,386.0871,394.5575,394.5575,1186492
2022-09-27,395.2173,396.5629,374.7604,378.0106,378.0106,1156036
2022-10-04,379.1980,382.0007,369.9678,373.5432,373.5432,1194539
2022-10-11,373.3420,387.0329,372.6261,386.9382,386.9382,1107292
2022-10-18,387.1997,394.6773,385.4208,393.2704,393.2704,1183574
2022-10-25,392.5013,395.3245,384.3174,385.0427,385.0427,1160661
2022-11-01,385.2654,391.9746,383.1779,390.2180,390.2180,1014963
2022-11-08,389.6144,395.1326,386.1230,391.4145,391.4145,1067845
2022-11-15,391.7761,395.5423,374.0666,376.6297,376.6297,1065913
2022-11-22,377.0193,379.1589,367.7657,369.4580,369.4580,1176550
2022-11-29,369.6783,376.1046,369.5450,375.4831,375.4831,1150448
2022-12-06,375.1158,375.9547,358.0582,360.0655,360.0655,1039097
2022-12-13,359.6131,360.7607,343.3985,345.7883,345.7883,1049740
2022-12-20,344.8423,349.4594,344.3245,346.1988,346.1988,1061298
2022-12-27,345.7555,351.1476,342.9193,349.4434,349.4434,1036249
2023-01-03,348.9265,350.9223,337.3774,339.0818,339.0818,1120591
2023-01-10,338.1445,339.5041,321.1812,323.7194,323.7194,1119150
2023-01-17,324.5836,325.1648,312.8562,312.8993,312.8993,1024635
2023-01-24,313.3512,323.3066,313.0745,320.9463,320.9463,1059468
2023-01-31,321.5662,325.6706,318.3527,324.2669,324.2669,1145578
2023-02-07,325.0144,339.7178,322.3788,337.7950,337.7950,1068765
2023-02-14,337.5082,340.0763,328.3376,330.6277,330.6277,1030066
2023-02-21,330.2663,331.0307,313.3975,313.7623,313.7623,1149648
2023-02-28,313.0092,325.0937,310.8033,325.0327,325.0327,1125067
2023-03-07,326.4293,329.6773,314.8939,317.2736,317.2736,1161151
2023-03-14,317.8006,318.6686,308.9805,309.7140,309.7140,1004324
2023-03-21,309.2208,310.3407,297.9912,300.2378,300.2378,1046855
2023-03-28,300.9554,312.7754,298.3950,312.0414,312.0414,1098002
2023-04-04,312.3705,329.7051,311.2423,327.5225,327.5225,1193452
2023-04-11,326.2646,329.1521,320.3639,322.5644,322.5644,1070730
2023-04-18,322.5840,324.9176,318.8636,319.7156,319.7156,1136000
2023-04-25,320.0304,321.6719,314.6056,317.5566,317.5566,1144025
2023-05-02,316.5672,317.1886,307.6532,309.5646,309.5646,1065128
2023-05-09,309.5428,326.6754,306.9553,324.1155,324.1155,1074682
2023-05-16,324.1876,325.4045,312.3859,313.7639,313.7639,1142309
2023-05-23,314.1517,321.2284,312.5305,319.1572,319.1572,1105030
2023-05-30,319.7008,321.7925,306.6301,308.6724,308.6724,1100265
2023-06-06,307.9247,310.0150,304.9647,306.3060,306.3060,1013898
2023-06-13,307.3114,310.9252,306.2073,310.7726,310.7726,1075558
2023-06-20,311.0078,321.0944,309.6172,320.3478,320.3478,1058087
2023-06-27,319.2990,331.9814,319.1051,329.4655,329.4655,1002720
2023-07-04,330.1228,340.9623,328.9182,338.8211,338.8211,1194551
2023-07-11,339.0933,341.9492,329.0368,329.1647,329.1647,1038979
2023-07-18,328.8151,332.1395,328.5809,329.1759,329.1759,1187586
2023-07-25,328.6299,332.3242,326.8701,329.5899,329.5899,1091898
2023-08-01,329.8464,330.3288,327.7024,328.6889,328.6889,1017619
2023-08-08,328.1370,337.9997,326.5973,337.8499,337.8499,1069388
2023-08-15,335.9847,336.9469,327.0339,327.7928,327.7928,1108230
2023-08-22,328.7092,341.4993,325.5152,338.3493,338.3493,1047375
2023-08-29,337.8177,338.6575,335.2368,337.0509,337.0509,1053075
2023-09-05,336.0141,336.1655,330.7652,331.5278,331.5278,1196752
2023-09-12,331.2931,349.3452,330.2036,345.8977,345.8977,1170244
2023-09-19,346.7166,348.2840,340.7912,343.7885,343.7885,1027378
2023-09-26,343.2633,366.7528,340.2924,363.9081,363.9081,1027116
2023-10-03,364.3623,366.4480,363.8881,366.2069,366.2069,1014757
2023-10-10,365.1788,368.4821,341.3676,343.6076,343.6076,1152157
2023-10-17,343.1623,344.5761,340.8374,341.6324,341.6324,1003995
2023-10-24,342.6207,342.7956,337.0697,338.7772,338.7772,1046385
2023-10-31,339.2618,342.2566,336.8023,340.5190,340.5190,1092472
2023-11-07,341.5471,341.6125,332.6701,335.7817,335.7817,1163634
2023-11-14,336.0031,337.2453,329.2777,331.3524,331.3524,1094007
2023-11-21,330.8526,351.7635,329.8342,348.7827,348.7827,1112242
2023-11-28,350.2910,353.8248,349.0416,350.7207,350.7207,1074904
2023-12-05,350.7002,351.2453,343.6414,345.5174,345.5174,1096615
2023-12-12,345.4192,346.3714,332.8999,336.0747,336.0747,1119211
